rec-time,UTC,Acceleration,Lateral acceleration,Gas pedal position,Brake pedal force,Gear,Steering wheel position,Velocity,Lateral velocity,Vertical velocity,X axis position,Y axis position,Z axis position
00:00:01.421,1572924925671,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.422,1572924925672,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.423,1572924925673,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.470,1572924925720,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.471,1572924925721,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.472,1572924925722,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.520,1572924925770,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.521,1572924925771,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.522,1572924925772,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.574,1572924925824,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.575,1572924925825,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.576,1572924925826,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.620,1572924925870,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.621,1572924925871,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.622,1572924925872,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.671,1572924925921,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.672,1572924925922,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.673,1572924925923,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.721,1572924925971,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.722,1572924925972,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.723,1572924925973,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.771,1572924926021,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.772,1572924926022,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.773,1572924926023,0.0,0.0,0.983,163.951,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.822,1572924926072,0.0,0.0,0.983,156.065,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.823,1572924926073,0.0,0.0,0.983,156.065,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.824,1572924926074,0.0,0.0,0.983,156.065,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.873,1572924926123,0.0,0.0,0.983,156.065,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.874,1572924926124,0.0,0.0,0.983,156.065,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.875,1572924926125,0.0,0.0,0.983,156.065,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.923,1572924926173,0.0,0.0,0.983,137.741,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.924,1572924926174,0.0,0.0,0.983,137.741,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.925,1572924926175,0.0,0.0,0.983,137.741,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.974,1572924926224,0.0,0.0,0.983,137.741,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.975,1572924926225,0.0,0.0,0.983,137.741,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:01.976,1572924926226,0.0,0.0,0.983,137.741,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.024,1572924926274,0.0,0.0,0.983,85.09100000000002,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.025,1572924926275,0.0,0.0,0.983,85.09100000000002,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.026,1572924926276,0.0,0.0,0.983,85.09100000000002,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.074,1572924926324,0.0,0.0,0.983,85.09100000000002,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.075,1572924926325,0.0,0.0,0.983,85.09100000000002,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.076,1572924926326,0.0,0.0,0.983,85.09100000000002,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.124,1572924926374,0.0,0.0,0.983,44.965,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.125,1572924926375,0.0,0.0,0.983,44.965,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.126,1572924926376,0.0,0.0,0.983,44.965,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.175,1572924926425,0.0,0.0,0.983,44.965,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.176,1572924926426,0.0,0.0,0.983,44.965,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.177,1572924926427,0.0,0.0,0.983,44.965,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.178,1572924926428,0.0,0.0,0.983,15.972,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.226,1572924926476,0.0,0.0,0.983,15.972,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.227,1572924926477,0.0,0.0,0.983,15.972,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.228,1572924926478,0.0,0.0,0.983,15.972,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.277,1572924926527,0.0,0.0,0.983,15.972,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.278,1572924926528,0.0,0.0,0.983,15.972,3.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.527
00:00:02.279,1572924926529,-0.003,0.0,0.983,2.2880000000000003,3.0,-0.15,0.0,0.0,-0.001,0.0,0.0,-0.527
00:00:02.327,1572924926577,0.175,-0.001,0.983,2.2880000000000003,3.0,-0.15,0.006,0.0,-0.004,0.0,0.0,-0.527
00:00:02.328,1572924926578,0.246,-0.002,0.983,2.2880000000000003,3.0,-0.15,0.01,0.0,-0.006,0.0,0.0,-0.527
00:00:02.329,1572924926579,0.209,-0.002,0.983,2.2880000000000003,3.0,-0.15,0.014,0.0,-0.009000000000000001,0.0,0.0,-0.527
00:00:02.377,1572924926627,0.249,-0.002,0.983,2.2880000000000003,3.0,-0.15,0.018000000000000002,0.0,-0.011,0.0,0.0,-0.527
00:00:02.378,1572924926628,0.282,-0.002,0.983,2.2880000000000003,3.0,-0.15,0.024,0.0,-0.013,0.001,0.0,-0.527
00:00:02.379,1572924926629,0.303,-0.002,0.983,1.128,3.0,-0.15,0.029,0.0,-0.015,0.001,0.0,-0.528
00:00:02.428,1572924926678,0.335,-0.002,0.983,1.128,3.0,-0.15,0.035,0.0,-0.016,0.002,0.0,-0.528
00:00:02.429,1572924926679,0.363,-0.002,0.983,1.128,3.0,-0.15,0.041,0.0,-0.017,0.002,0.0,-0.528
00:00:02.430,1572924926680,0.382,-0.002,0.983,1.128,3.0,-0.15,0.048,0.0,-0.017,0.003,0.0,-0.528
00:00:02.478,1572924926728,0.397,-0.002,0.983,1.128,3.0,-0.15,0.055,0.0,-0.017,0.004,0.0,-0.529
00:00:02.479,1572924926729,0.41,-0.003,0.983,1.128,3.0,-0.15,0.062,0.0,-0.017,0.005,0.0,-0.529
00:00:02.480,1572924926730,0.422,-0.003,0.983,0.664,3.0,-0.15,0.069,0.0,-0.017,0.006,0.0,-0.529
00:00:02.530,1572924926780,0.439,-0.003,0.983,0.664,3.0,-0.15,0.078,-0.001,-0.016,0.006999999999999999,0.0,-0.53
00:00:02.531,1572924926781,0.449,-0.003,0.983,0.664,3.0,-0.15,0.084,-0.001,-0.015,0.008,0.0,-0.53
00:00:02.532,1572924926782,0.46,-0.003,0.983,0.664,3.0,-0.15,0.092,-0.001,-0.014,0.01,0.0,-0.53
00:00:02.579,1572924926829,0.47,-0.003,0.983,0.664,3.0,-0.15,0.1,-0.001,-0.013,0.011,0.0,-0.53
00:00:02.580,1572924926830,0.479,-0.003,0.983,0.664,3.0,-0.15,0.108,-0.001,-0.012,0.013,0.0,-0.53
